direct_competitor_count_500m,direct_competitor_count_1km,related_fitness_count_1km,source_index
12,52,102,1511
8,22,43,1513
7,24,48,1514
7,27,55,1515
7,37,75,1516
28,54,107,1518
3,20,44,1519
27,50,98,1520
5,18,40,1521
17,55,110,1522
5,50,78,1523
17,52,95,1524
26,50,97,1525
9,33,78,1526
16,49,101,1527
21,53,108,1528
7,27,55,1529
25,47,89,1530
11,52,91,1531
15,39,86,1532
13,19,35,1533
12,18,36,1534
6,49,101,1535
6,49,101,1536
3,41,83,1537
11,19,36,1538
1,12,26,1539
18,50,92,1540
10,18,31,1541
5,48,73,1542
14,28,62,1543
13,31,56,1544
9,29,59,1545
24,49,96,1546
8,18,31,1547
4,15,34,1548
0,7,14,1549
30,52,96,1550
18,23,42,1551
8,40,82,1552
7,23,48,1554
16,23,43,1555
13,29,64,1556
9,18,40,1557
10,21,44,1558
8,19,40,1559
16,49,99,1560
27,51,105,1561
14,27,60,1562
13,31,57,1563
25,47,89,1564
13,41,88,1565
8,14,33,1566
6,20,41,1567
30,49,97,1568
16,51,102,1569
12,31,64,1570
3,18,40,1571
8,18,39,1572
11,19,36,1573
9,21,40,1574
30,46,88,1575
9,14,34,1576
14,28,62,1577
14,27,62,1578
28,49,94,1579
7,28,60,1580
8,18,33,1581
6,31,61,1582
3,32,64,1583
6,47,76,1584
6,29,53,1585
5,14,33,1586
3,8,15,1587
8,21,43,1588
11,30,64,1589
3,32,64,1590
5,18,31,1591
5,14,33,1592
9,39,75,1593
4,50,75,1594
4,9,23,1595
12,54,102,1596
26,50,96,1597
29,49,98,1598
6,23,51,1599
3,11,20,1600
3,12,30,1601
5,20,42,1602
11,32,65,1603
13,27,53,1604
9,21,44,1605
26,49,96,1606
9,33,63,1607
6,23,50,1608
16,44,91,1609
12,34,69,1610
27,49,94,1611
10,23,40,1612
13,31,57,1613
7,29,55,1614
25,47,89,1615
11,29,63,1616
10,34,66,1617
4,9,23,1618
9,23,46,1619
13,31,57,1620
13,39,85,1621
13,39,68,1622
5,37,58,1623
30,52,100,1624
7,24,48,1625
7,30,56,1626
30,50,99,1627
4,9,22,1628
4,9,22,1629
12,21,40,1630
28,50,93,1631
14,28,62,1632
16,50,99,1633
4,40,82,1634
7,32,58,1635
16,49,100,1636
6,13,29,1637
32,55,104,1638
30,49,97,1639
15,55,101,1640
13,37,65,1641
13,33,59,1642
11,32,58,1643
11,22,44,1644
4,7,20,1645
24,46,89,1646
11,36,71,1647
21,44,77,1648
5,29,58,1649
11,26,49,1650
15,40,73,1651
9,24,47,1652
9,30,61,1653
14,29,54,1654
11,17,34,1655
11,28,55,1656
11,28,55,1657
11,28,55,1658
26,47,84,1659
7,27,57,1660
5,7,12,1661
8,32,64,1662
14,40,72,1663
14,29,52,1664
12,28,55,1665
9,32,57,1666
14,31,54,1667
11,25,48,1668
12,39,72,1669
5,7,12,1670
14,27,51,1671
24,50,88,1672
13,45,75,1673
26,56,92,1674
27,45,78,1675
7,30,59,1676
21,44,77,1677
17,41,72,1678
9,22,43,1679
16,41,73,1680
11,26,50,1681
27,44,79,1682
14,38,70,1683
7,32,65,1684
11,26,49,1685
2,22,46,1686
1,3,4,1687
5,27,58,1688
8,28,53,1689
10,26,48,1690
11,35,66,1691
8,43,76,1692
8,30,58,1693
